bin,size,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 1)","(1, 1, 2)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 1)","(2, 1, 2)","(2, 2, 2)","(3, 0, 0)","(3, 0, 1)","(3, 0, 2)","(3, 1, 1)","(3, 1, 2)","(3, 2, 2)",position
249,1485,0.05937568969386643,0.04536067256273695,0.03247709035278961,0.06325320174656612,0.048307577522907666,0.03489103780492361,0.06553852318256008,0.04991168094546901,0.03668130121396719,0.017860306298609928,0.04681439071749743,0.03393516657065308,0.005445933269052591,0.013163297061668489,7.468479706557424e-4,0.019182382333368074,0.09999090600602067,0.1838936264428959,0.005834961660605917,0.03161872353785274,8.071663789110296e-4,0.016457291923145174,0.041226698303248356,0.02933869634270983,0.005012198928312309,0.012239385143064219,6.352460859418595e-4,24999257
250,1929,0.09828397849417493,0.09710202698183366,0.059969893270312935,0.08347462196099006,0.08755496825306391,0.0560011518427177,0.060627371473024265,0.06907088010683532,0.046442241742298974,0.011885163894881862,0.046236843965287024,0.03460854242431008,0.0041850290025943065,0.010124288053092045,3.788356708838576e-4,0.013269901594594102,0.05861323267379681,0.041218239970587815,0.00434328632398465,0.010719731362279402,3.5087485935042805e-4,0.013085395552065398,0.042610336924571994,0.030935664993176484,0.00543806225713443,0.012773278221906338,6.961581302512102e-4,25000964
250,33301,0.04944182927855922,0.05152627042685303,0.04350552964980012,0.053750295664958626,0.05712888670980221,0.050819802717597715,0.05760567376469462,0.06161742306323117,0.057484686947546486,0.016911494223636955,0.06197374759442749,0.058376280012989244,0.007404244365302932,0.023074473867460938,0.0011351619843422462,0.018417831808187943,0.06769328358604293,0.05145674284630731,0.00775948124361113,0.021316714993056315,0.0011070559990229403,0.017554917508832264,0.06692671241050407,0.06207633358917899,0.007659921352534696,0.02504584680081348,0.0012293575907049285,25019223
250,5663,0.02512703419483151,0.025916981041900943,0.03393530963530105,0.03018843822551215,0.031514708421114125,0.04325789250244897,0.03800418775207379,0.038209507656126934,0.054439687401042006,0.013484852498132024,0.04418433326516395,0.05186012963469339,0.008513691681179792,0.03134911614957152,0.0032955982023478866,0.013930700176709514,0.05488939085089364,0.09872143626681659,0.009359846726025094,0.05185978902199223,0.004073239446968168,0.018310031658799922,0.09611444203461561,0.11222106281675702,0.011734418334896274,0.05148588506270077,0.004018289341385099,25039137
250,15299,0.041598906678157924,0.03401783637270662,0.030873222654554843,0.05131520514306366,0.041447804699140875,0.036887238206640506,0.06401689005372695,0.05096353804084437,0.0445328343758076,0.0215491979346676,0.06075598197935121,0.047080045970692735,0.00821749551149473,0.022304193376416308,0.0016820894333371568,0.023540377535066208,0.07487881791708728,0.08692607377707474,0.009092744605481953,0.03134727206950535,0.001798915598537409,0.02311193088730073,0.0739530574576083,0.07610808761563162,0.008857915641140425,0.031166479737744484,0.001975846727218409,25050536
250,38929,0.04281062511799257,0.039981195016186744,0.04022387744188623,0.0520796637063558,0.04872556826781731,0.04887793190537232,0.06258081644285539,0.059358104009643496,0.05930786724799897,0.019075075976696804,0.063147333768237765,0.057593850073820944,0.008686026534220218,0.028419922501542648,0.001845956321934884,0.018986044840924216,0.06240556954428624,0.05004715738903173,0.008441026576499052,0.025794701271122246,0.0017419015136377154,0.020625114714969986,0.07507505488579476,0.06509690660029303,0.008993012155414969,0.028235515524399027,0.0018441806510649309,25080535
251,27152,0.04348474880947086,0.04864251396788973,0.06322933727702683,0.047609796796463454,0.052841654631223624,0.06481623657219443,0.05301660372372461,0.05751845800786473,0.06592274189796422,0.016778080866076857,0.06078793907123981,0.06118765711937962,0.00749887941885051,0.024122075412283464,0.001265835206375163,0.017746284260971155,0.06341838721619365,0.05599023749460662,0.007993678453861829,0.025389502267617887,0.0013907613199361465,0.017237214640258607,0.057069824875857655,0.050245079507170366,0.007723128787630409,0.025629472152547392,0.001443870245320356,25113575.5
251,21841,0.04874854536400298,0.04207904229599423,0.03232474856365789,0.058225484215404445,0.05019419678520016,0.03913268648753265,0.06773224135326213,0.05783111839982464,0.04553387762160469,0.02095119968443897,0.06276349907682213,0.048972922702092817,0.0076157837201039705,0.020895032503149037,9.812382421250465e-4,0.022890694078570334,0.08061899165310982,0.06356884629471178,0.008001230568621854,0.02222570204144823,9.374905437661725e-4,0.02353951849078068,0.07940342421792011,0.06028106822873921,0.008742688117649083,0.02469610591283641,0.0011126228366305385,25138392
251,5608,0.03153308185066476,0.02033672764958083,0.0165551286577931,0.04088198215309757,0.026814533923268324,0.022744885928174315,0.053028438350302715,0.03594178186411271,0.032835088153508815,0.018199330998088355,0.04561470738265133,0.043575492916534286,0.006453900651267836,0.02547449133258536,0.0019631530077688156,0.02190146974283242,0.1012030389247855,0.14445163766609684,0.007574195479744045,0.04620489626038788,0.003138970389431952,0.02037228067699793,0.08104623860095903,0.10520841089487486,0.007285332495183289,0.0375590742859881,0.002101729763319054,25157861.5
251,5225,0.040507330720987195,0.023244880886172624,0.013243719750801195,0.05083820811162316,0.028420978863665246,0.016261682271656204,0.06596655509030573,0.0346411162296192,0.01997994336320236,0.023919208634129812,0.04924981911710221,0.03342115452569384,0.00645863522669021,0.014924254108079368,0.0012100815064247854,0.030961268221306442,0.10910032447926761,0.09431626508758574,0.007734450123854954,0.021529260020440408,0.001314274997655793,0.031366765156332875,0.10424954012193707,0.1422121307929368,0.0077063142726233455,0.02557171794693353,0.001650120372972302,25164051
